record_type,population,period,date_or_month,count,trading_days,active_signal_days,total_count,average_per_trading_day,average_per_active_signal_day,median_per_trading_day,median_per_active_signal_day,p90_per_trading_day,p90_per_active_signal_day,maximum_daily_count,maximum_dates,signal_date_hhi,effective_signal_dates,largest_date_share,top5_dates_share,top10_dates_share,industry_status,industry_reason,industry_asof_covered_rows,industry_future_only_rows,industry_missing_rows,industry_asof_coverage_rate
daily_count,all_final_signals,2022,20220103,3,,,,,,,,,,,,,,,,,,,,,,
daily_count,all_final_signals,2022,20220104,4,,,,,,,,,,,,,,,,,,,,,,
daily_count,all_final_signals,2022,20220105,7,,,,,,,,,,,,,,,,,,,,,,
daily_count,all_final_signals,2022,20220106,2,,,,,,,,,,,,,,,,,,,,,,
daily_count,all_final_signals,2022,20220107,3,,,,,,,,,,,,,,,,,,,,,,
daily_count,all_final_signals,2022,20220110,4,,,,,,,,,,,,,,,,,,,,,,
daily_count,all_final_signals,2022,20220111,2,,,,,,,,,,,,,,,,,,,,,,
daily_count,all_final_signals,2022,20220112,4,,,,,,,,,,,,,,,,,,,,,,
daily_count,all_final_signals,2022,20220113,2,,,,,,,,,,,,,,,,,,,,,,
daily_count,all_final_signals,2022,20220114,1,,,,,,,,,,,,,,,,,,,,,,
daily_count,all_final_signals,2022,20220117,3,,,,,,,,,,,,,,,,,,,,,,
daily_count,all_final_signals,2022,20220118,5,,,,,,,,,,,,,,,,,,,,,,
daily_count,all_final_signals,2022,20220119,0,,,,,,,,,,,,,,,,,,,,,,
daily_count,all_final_signals,2022,20220120,0,,,,,,,,,,,,,,,,,,,,,,
daily_count,all_final_signals,2022,20220121,0,,,,,,,,,,,,,,,,,,,,,,
daily_count,all_final_signals,2022,20220124,0,,,,,,,,,,,,,,,,,,,,,,
daily_count,all_final_signals,2022,20220125,0,,,,,,,,,,,,,,,,,,,,,,
daily_count,all_final_signals,2022,20220126,0,,,,,,,,,,,,,,,,,,,,,,
daily_count,all_final_signals,2022,20220207,0,,,,,,,,,,,,,,,,,,,,,,
daily_count,all_final_signals,2022,20220208,0,,,,,,,,,,,,,,,,,,,,,,
